dataset_file,source,original_title,license,artist,page_url,notes
brightiris_commons_030608_Pupil_p100.jpg,Wikimedia Commons,File:030608 Pupil.jpg,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:Ylem"" title=""User:Ylem"">Ylem</a>",https://commons.wikimedia.org/wiki/File:030608_Pupil.jpg,
brightiris_commons_100_3098-003_-_Flickr_-_Stiller_Beobachter_p100.jpg,Wikimedia Commons,File:100 3098-003 - Flickr - Stiller Beobachter.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/56091199@N03"">Stiller Beobachter</a> from Ansbach, Germany",https://commons.wikimedia.org/wiki/File:100_3098-003_-_Flickr_-_Stiller_Beobachter.jpg,
brightiris_commons_320_365_Observando..._6351189737_p100.jpg,Wikimedia Commons,File:320 365 Observando... (6351189737).jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/49703021@N00"">Andrés Nieto Porras</a> from Palma de Mallorca, España",https://commons.wikimedia.org/wiki/File:320_365_Observando..._(6351189737).jpg,
brightiris_commons_7842_test_iniziali_04_p99.jpg,Wikimedia Commons,File:7842 test iniziali 04.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Ocioxocio&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Ocioxocio (page does not exist)"">Gianfranco Passuello</a>",https://commons.wikimedia.org/wiki/File:7842_test_iniziali_04.jpg,
brightiris_commons_A_blue_eye_p97.jpg,Wikimedia Commons,File:A blue eye.jpg,CC BY-SA 3.0,"<a href=""https://en.wikipedia.org/wiki/User:8thstar"" class=""extiw"" title=""wikipedia:User:8thstar"">8thstar</a> at <a href=""https://en.wikipedia.org/wiki/"" class=""extiw"" title=""wikipedia:"">English Wikip",https://commons.wikimedia.org/wiki/File:A_blue_eye.jpg,
brightiris_commons_A_human_male_brown_eye_p52.jpg,Wikimedia Commons,File:A human male brown eye.jpg,CC0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Bobbyphotographer&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Bobbyphotographer (page does not exist)"">Bobbyphotographer</a>",https://commons.wikimedia.org/wiki/File:A_human_male_brown_eye.jpg,
brightiris_commons_Amber_Brown_Eye_p99.jpg,Wikimedia Commons,File:Amber Brown Eye.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Manicjedi"" title=""User:Manicjedi"">Manicjedi</a>",https://commons.wikimedia.org/wiki/File:Amber_Brown_Eye.jpg,
brightiris_commons_Amber_Brown_Green_p75.jpg,Wikimedia Commons,File:Amber Brown Green.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Manicjedi"" title=""User:Manicjedi"">Manicjedi</a>",https://commons.wikimedia.org/wiki/File:Amber_Brown_Green.jpg,
brightiris_commons_Amber_eye1_p52.jpg,Wikimedia Commons,File:Amber eye1.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Lacobrigo"" title=""User:Lacobrigo"">Lacobrigo</a>",https://commons.wikimedia.org/wiki/File:Amber_eye1.jpg,2026-08-19 재조회로 출처 확정(기존 'see Commons'). Credit=Own work.
brightiris_commons_AmberEye_p100.jpg,Wikimedia Commons,File:AmberEye.jpg,CC0,Samb7293,https://commons.wikimedia.org/wiki/File:AmberEye.jpg,
brightiris_commons_Anangrygreygreeneye_p64.jpg,Wikimedia Commons,File:Anangrygreygreeneye.JPG,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Wrenchrox&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Wrenchrox (page does not exist)"">Wrenchrox</a>",https://commons.wikimedia.org/wiki/File:Anangrygreygreeneye.JPG,
brightiris_commons_Anime_Eye_8336228624_p100.jpg,Wikimedia Commons,File:Anime Eye? (8336228624).jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/69004005@N02"">d_pham</a> from Toronto, Canada",https://commons.wikimedia.org/wiki/File:Anime_Eye%3F_(8336228624).jpg,
brightiris_commons_Anthonys_Green_Brown_Iris_p100.jpg,Wikimedia Commons,File:Anthony's Green Brown Iris.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Mobentec"" title=""User:Mobentec"">Mobentec</a>",https://commons.wikimedia.org/wiki/File:Anthony%27s_Green_Brown_Iris.jpg,
brightiris_commons_Auge_Böhringer_A_1_p75.jpg,Wikimedia Commons,File:Auge Böhringer A 1.JPG,CC BY-SA 3.0 at,"Feel free to use my photos, but please mention me as the author and if you want send me a  <a class=""external text"" data-mw-original-href=""http://commons.wikimedia.org/w/index.php?title=User_talk:Böhr",https://commons.wikimedia.org/wiki/File:Auge_B%C3%B6hringer_A_1.JPG,
brightiris_commons_Auge_Böhringer_A_2_p92.jpg,Wikimedia Commons,File:Auge Böhringer A 2.JPG,CC BY-SA 3.0 at,"Feel free to use my photos, but please mention me as the author and if you want send me a  <a class=""external text"" data-mw-original-href=""http://commons.wikimedia.org/w/index.php?title=User_talk:Böhr",https://commons.wikimedia.org/wiki/File:Auge_B%C3%B6hringer_A_2.JPG,
brightiris_commons_Auge_IMG_4057-2_p99.jpg,Wikimedia Commons,File:Auge IMG 4057-2.jpg,FAL,"<a href=""//commons.wikimedia.org/wiki/User:Chianti"" title=""User:Chianti"">Chianti</a><br>This file was derived from:  <a href=""//commons.wikimedia.org/wiki/File:Light_Blue_Eye_IMG_4057.JPG"" title=""File",https://commons.wikimedia.org/wiki/File:Auge_IMG_4057-2.jpg,
brightiris_commons_AugeMeiniges2_p75.jpg,Wikimedia Commons,File:AugeMeiniges2.jpg,CC BY-SA 3.0,"<a href=""https://de.wikipedia.org/wiki/User:Hutson"" class=""extiw"" title=""de:User:Hutson"">Hutson</a>",https://commons.wikimedia.org/wiki/File:AugeMeiniges2.jpg,
