filename,category,title,author,license,source_page,file_url
closed-eyes_000_File_06_AntiImpeachRally_WDC_17December1998_224135.jpg,Category:Closed eyes,File:06.AntiImpeachRally.WDC.17December1998 (22413521852).jpg,Elvert Barnes,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File%3A06.AntiImpeachRally.WDC.17December1998_%2822413521852%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2a/06.AntiImpeachRally.WDC.17December1998_%2822413521852%29.jpg/960px-06.AntiImpeachRally.WDC.17December1998_%2822413521852%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_001_File_A_woman_s_head_and_shoulders_her_eyes_are_clo.jpg,Category:Closed eyes,File:A woman's head and shoulders; her eyes are closed and her mo Wellcome V0029470.jpg,,CC BY 4.0,https://commons.wikimedia.org/wiki/File%3AA_woman%27s_head_and_shoulders%3B_her_eyes_are_closed_and_her_mo_Wellcome_V0029470.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/A_woman%27s_head_and_shoulders%3B_her_eyes_are_closed_and_her_mo_Wellcome_V0029470.jpg/960px-A_woman%27s_head_and_shoulders%3B_her_eyes_are_closed_and_her_mo_Wellcome_V0029470.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_002_File_Caroline_Veronez_2017_Unsplash.jpg,Category:Closed eyes,File:Caroline Veronez 2017 (Unsplash).jpg,Caroline Veronez veronezcaroline,CC0,https://commons.wikimedia.org/wiki/File%3ACaroline_Veronez_2017_%28Unsplash%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f5/Caroline_Veronez_2017_%28Unsplash%29.jpg/960px-Caroline_Veronez_2017_%28Unsplash%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_003_File_Cwo_20180719190820e.jpg,Category:Closed eyes,File:Cwo 20180719190820e.jpg,Andemaya,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3ACwo_20180719190820e.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1d/Cwo_20180719190820e.jpg/960px-Cwo_20180719190820e.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_004_File_Dylan_LeBlanc_OBS_2025_04.jpg,Category:Closed eyes,File:Dylan LeBlanc OBS 2025 04.jpg,Schorle,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3ADylan_LeBlanc_OBS_2025_04.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/Dylan_LeBlanc_OBS_2025_04.jpg/960px-Dylan_LeBlanc_OBS_2025_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_005_File_Dylan_LeBlanc_OBS_2025_11.jpg,Category:Closed eyes,File:Dylan LeBlanc OBS 2025 11.jpg,Schorle,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3ADylan_LeBlanc_OBS_2025_11.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/Dylan_LeBlanc_OBS_2025_11.jpg/960px-Dylan_LeBlanc_OBS_2025_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_006_File_Dylan_LeBlanc_OBS_2025_18.jpg,Category:Closed eyes,File:Dylan LeBlanc OBS 2025 18.jpg,Schorle,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3ADylan_LeBlanc_OBS_2025_18.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f6/Dylan_LeBlanc_OBS_2025_18.jpg/960px-Dylan_LeBlanc_OBS_2025_18.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_007_File_Haley_Dreis_NAMM_Show_01_27_2024_53835061298.jpg,Category:Closed eyes,File:Haley Dreis @ NAMM Show 01 27 2024 (53835061298).jpg,Justin Higuchi,CC BY 2.0,https://commons.wikimedia.org/wiki/File%3AHaley_Dreis_%40_NAMM_Show_01_27_2024_%2853835061298%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/Haley_Dreis_%40_NAMM_Show_01_27_2024_%2853835061298%29.jpg/960px-Haley_Dreis_%40_NAMM_Show_01_27_2024_%2853835061298%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_008_File_Hariri_as_Fubuki_Shirakami_standing_at_Classr.jpg,Category:Closed eyes,File:Hariri as Fubuki Shirakami standing at Classroom D 20260829 143820.jpg,Solomon203,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3AHariri_as_Fubuki_Shirakami_standing_at_Classroom_D_20260829_143820.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Hariri_as_Fubuki_Shirakami_standing_at_Classroom_D_20260829_143820.jpg/960px-Hariri_as_Fubuki_Shirakami_standing_at_Classroom_D_20260829_143820.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_009_File_Hariri_as_Fubuki_Shirakami_standing_at_Classr.jpg,Category:Closed eyes,File:Hariri as Fubuki Shirakami standing at Classroom D 20260829 143824.jpg,Solomon203,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3AHariri_as_Fubuki_Shirakami_standing_at_Classroom_D_20260829_143824.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9a/Hariri_as_Fubuki_Shirakami_standing_at_Classroom_D_20260829_143824.jpg/960px-Hariri_as_Fubuki_Shirakami_standing_at_Classroom_D_20260829_143824.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
closed-eyes_010_File_Kamala_Harris_in_the_Blue_Room_V20210810LJ_06.jpg,Category:Closed eyes,File:Kamala Harris in the Blue Room - V20210810LJ-0615 (51540629020).jpg,The White House,Public domain,https://commons.wikimedia.org/wiki/File%3AKamala_Harris_in_the_Blue_Room_-_V20210810LJ-0615_%2851540629020%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/Kamala_Harris_in_the_Blue_Room_-_V20210810LJ-0615_%2851540629020%29.jpg/960px-Kamala_Harris_in_the_Blue_Room_-_V20210810LJ-0615_%2851540629020%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
