filename,category,title,author,license,source_page,file_url
portrait-photographs-of-women_000_File_Anas_n_Moan_na_11_05_20_Radolfzell_Deutschlan.jpg,Category:Portrait photographs of women,"File:""Anasín Moanína, 11.05.20, Radolfzell, Deutschland.jpg"".jpg",Anasín Moanína,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A%22Anas%C3%ADn_Moan%C3%ADna%2C_11.05.20%2C_Radolfzell%2C_Deutschland.jpg%22.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0d/%22Anas%C3%ADn_Moan%C3%ADna%2C_11.05.20%2C_Radolfzell%2C_Deutschland.jpg%22.jpg/960px-%22Anas%C3%ADn_Moan%C3%ADna%2C_11.05.20%2C_Radolfzell%2C_Deutschland.jpg%22.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_001_File_Are_you_really_catching_Me_147038811.jpg,Category:Portrait photographs of women,"File:""Are you really catching Me?"" (147038811).jpg","Pedro Ribeiro Simões from Lisboa, Portugal",CC BY 2.0,https://commons.wikimedia.org/wiki/File%3A%22Are_you_really_catching_Me%3F%22_%28147038811%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2b/%22Are_you_really_catching_Me%3F%22_%28147038811%29.jpg/960px-%22Are_you_really_catching_Me%3F%22_%28147038811%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_002_File_Anas_n_Moan_na_26_02_20_Radolfzell_Deutschlan.jpg,Category:Portrait photographs of women,"File:'Anasín Moanína, 26.02.20, Radolfzell, Deutschland.jpg'.jpg",Anasín Moanína,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A%27Anas%C3%ADn_Moan%C3%ADna%2C_26.02.20%2C_Radolfzell%2C_Deutschland.jpg%27.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/%27Anas%C3%ADn_Moan%C3%ADna%2C_26.02.20%2C_Radolfzell%2C_Deutschland.jpg%27.jpg/960px-%27Anas%C3%ADn_Moan%C3%ADna%2C_26.02.20%2C_Radolfzell%2C_Deutschland.jpg%27.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_003_File_000_Galina_Ch.jpg,Category:Portrait photographs of women,File:000 Galina Ch.jpg,Дар Ветер,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A000_Galina_Ch.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/000_Galina_Ch.jpg/960px-000_Galina_Ch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_004_File_00000PORTRAIT_00000_BURST20190711153456770.jpg,Category:Portrait photographs of women,File:00000PORTRAIT 00000 BURST20190711153456770.jpg,Guterman1,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A00000PORTRAIT_00000_BURST20190711153456770.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/99/00000PORTRAIT_00000_BURST20190711153456770.jpg/960px-00000PORTRAIT_00000_BURST20190711153456770.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_005_File_01_Elena_Folk.jpg,Category:Portrait photographs of women,File:01 Elena Folk.jpg,Mark Nakoykher,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A01_Elena_Folk.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/10/01_Elena_Folk.jpg/960px-01_Elena_Folk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_006_File_01_portrait_motion_blur_experimental_digital.jpg,Category:Portrait photographs of women,File:01 portrait motion blur experimental digital photography by Rick Doble.jpg,Rick Doble,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A01_portrait_motion_blur_experimental_digital_photography_by_Rick_Doble.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f2/01_portrait_motion_blur_experimental_digital_photography_by_Rick_Doble.jpg/960px-01_portrait_motion_blur_experimental_digital_photography_by_Rick_Doble.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_007_File_0146Baliuag_San_Rafael_Bulacan_36.jpg,Category:Portrait photographs of women,File:0146Baliuag San Rafael Bulacan 36.jpg,Judgefloro,CC0,https://commons.wikimedia.org/wiki/File%3A0146Baliuag_San_Rafael_Bulacan_36.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/98/0146Baliuag_San_Rafael_Bulacan_36.jpg/960px-0146Baliuag_San_Rafael_Bulacan_36.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_008_File_01AR700059_Edit.jpg,Category:Portrait photographs of women,File:01AR700059-Edit.jpg,Nellacphoto,CC BY 4.0,https://commons.wikimedia.org/wiki/File%3A01AR700059-Edit.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/01AR700059-Edit.jpg/960px-01AR700059-Edit.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
portrait-photographs-of-women_009_File_01AR700102_Edit.jpg,Category:Portrait photographs of women,File:01AR700102-Edit.jpg,Nellacphoto,CC BY 4.0,https://commons.wikimedia.org/wiki/File%3A01AR700102-Edit.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/44/01AR700102-Edit.jpg/960px-01AR700102-Edit.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
